Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Viktorija Auziņa	6 "Latvijas centriskā partija"	Rīga	4	1986	SIA Legis Plus	jurists
Jānis Auziņš	2 Jaunā konservatīvā partija	Latgale	7	1987	"Līči" Balvu rajona Kubulu pagasta zemnieku saimniecība	Īpašnieks ar paraksttiesībām
Kristaps Averjanovs	11 Latvijas Reģionu Apvienība	Latgale	8	1990	Ilūkstes novada pašvaldība	domes deputāts
Ināra Avotiņa	11 Latvijas Reģionu Apvienība	Kurzeme	7	1963	Grobiņas novada dome	deputāte
Raitis Ābelnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	4	1963	Bauskas novada dome	Deputāts
Natālija Ābola	7 "LSDSP/KDS/GKL"	Zemgale	4	1953	SIA TV Alter A	valdes priekšsēdētāja
Anna Āboliņa	15 Politiskā partija "KPV LV"	Rīga	22	1987	Rīgas Stradiņa universitāte	Sporta un uztura katedras biroja vadītāja
Inese Āboliņa	16 Zaļo un Zemnieku savienība	Rīga	20	1977	Latvijas Universitāte, Sociālo zinātņu fakultāte	Izpilddirektora vietniece
Andis Āboliņš	16 Zaļo un Zemnieku savienība	Kurzeme	8	1984	Talsu novada pašvaldība	Stendes pilsētas pārvaldes vadītājs
Jānis Āboliņš	7 "LSDSP/KDS/GKL"	Vidzeme	7	1976	Biedrība Latvijas Kredītņēmēju Asociācija	valdes priekšsēdētājs
Jānis Ābols	11 Latvijas Reģionu Apvienība	Vidzeme	10	1982	Latvijas Republikas Tieslietu ministrija	jurists
Jānis Ādamsons	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	4	1956	Latvijas Republikas Saeima	12. Saeimas deputāts
Āris Ādlers	5 "PROGRESĪVIE"	Zemgale	10	1980	Biedrība "Sernikon"	Projektu vadītājs
Andris Bačkurs	10 Attīstībai/Par!	Kurzeme	5	1987	SIA "ANBA"	Valdes loceklis
Andris Bačuks	16 Zaļo un Zemnieku savienība	Latgale	11	1987	Balvu un Gulbenes slimnīcu apvienība	Ārsts - fizioterapeits
Andris Badūns	13 Jaunā VIENOTĪBA	Latgale	4	1961	Dagdas novada pašvaldības iestāde „Veselības un sociālo pakalpojumu centrs „Dagda”	iestādes vadītājs
Anda Baidekalna	10 Attīstībai/Par!	Kurzeme	15	1985	SIA "AB 19"	Valdes locekle
Inese Baikovska	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	11	1965	Individuāli praktizējoša zvērināta advokāte	Zvērināta advokāte
Normunds Balabka	13 Jaunā VIENOTĪBA	Rīga	20	1973	Stopiņu novada dome	deputāts
Marija Balcere	2 Jaunā konservatīvā partija	Rīga	7	1946	"Marija" SAB	Valdes priekšsēdētāja
Normunds Balčuns	16 Zaļo un Zemnieku savienība	Rīga	24	1981	Veselības ministrijas Neatliekamās medicīniskās palīdzības dienests	Galvenais saimniecības pārzinis
Dace Austra Balode	2 Jaunā konservatīvā partija	Rīga	24	1978	Rīgas centra daiļamatniecības pamatskola	Pagarinātās dienas grupas skolotāja
Natālija Balode	2 Jaunā konservatīvā partija	Kurzeme	8	1961	Saldus novada pašvaldība	Deputāte
Ringolds Balodis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	4	1966	Latvijas Republikas Saeima	Deputāts
Aleksandrs Baranovskis	1 "Latvijas Krievu savienība"	Latgale	15	1987	Neatliekamās medicīniskās palīdzības dienests	ārsta palīgs/feldšeris
Aija Barča	16 Zaļo un Zemnieku savienība	Kurzeme	2	1949	LR Saeima	deputāte
Māris Barkāns	6 "Latvijas centriskā partija"	Latgale	2	1963	Zviedrija	siltumtehniķis
Jānis Baroniņš	15 Politiskā partija "KPV LV"	Rīga	14	1987	Students/studente	
Arvīds Barševskis	16 Zaļo un Zemnieku savienība	Latgale	6	1965	Daugavpils Universitāte	Zinātņu prorektors
Maksims Bartuševičs	15 Politiskā partija "KPV LV"	Rīga	21	1983	SIA "ENERGOSERT"	Neatkarīgais eksperts ēku energoefektivitātes jomā
Aleksandrs Bašarins	14 Par Alternatīvu	Vidzeme	12	1952	Pensionārs/pensionāre	
Ainars Bašķis	2 Jaunā konservatīvā partija	Vidzeme	6	1961	"Ansters" SIA	Pārdošanas vadītājs
Česlavs Batņa	16 Zaļo un Zemnieku savienība	Vidzeme	18	1979	Ikšķiles novada pašvaldība	Domes priekšsēdētāja vietnieks
Krista Baumane	10 Attīstībai/Par!	Rīga	5	1973	SIA "Frozen Grapes"	Valdes locekle
Edgars Baumanis	8 No sirds Latvijai	Kurzeme	3	1963	SIA ''Agrotehnika''	Veikala vadītājs
Vladislavs Bautris	12 "Latviešu Nacionālisti"	Latgale	1	1958	SIA ROYAL GROUP	Apsardzes operatīvais darbinieks
Jānis Bārbalis	15 Politiskā partija "KPV LV"	Vidzeme	20	1979	Limbažu novada pašvaldība	Limbažu novada Pāles pagasta sporta pasākumu vadītājs
Valdis Bārda	16 Zaļo un Zemnieku savienība	Vidzeme	14	1967	Alojas novada dome	Priekšsēdētājs
Ivars Bārdiņš	16 Zaļo un Zemnieku savienība	Rīga	14	1951	Latvijas Pasts	Īpašuma pārvaldes vadītāja vietnieks
Sandis Bārdiņš	8 No sirds Latvijai	Zemgale	13	1975	Latvijas Nacionālā opera un balets	Orķestra mūziķis
Vilis Bārtulis	2 Jaunā konservatīvā partija	Rīga	15	1955	Nodrošinājuma valsts aģentūra	Vecākais referents
Rolands Arturs Bebris	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	29	1949	Pensionārs/pensionāre	
Ingūna Bedikere	11 Latvijas Reģionu Apvienība	Vidzeme	23	1973	Z/S Dižbajāri	pārvaldniece
Inta Beikmane	7 "LSDSP/KDS/GKL"	Rīga	17	1956	Rīgas pirmsskolas izglītības iestāde "Pīlādzītis"	saimniecības vadītāja
Edvards Beitāns	14 Par Alternatīvu	Latgale	3	1990	Students/studente	
Rūdolfs Beitāns	11 Latvijas Reģionu Apvienība	Latgale	13	1995	Viļānu novada pašvaldība	Domes deputāts
Dagmāra Beitnere-Le Galla	2 Jaunā konservatīvā partija	Vidzeme	2	1955	Jūrmalas dome	Deputāte
Juris Bekins	14 Par Alternatīvu	Vidzeme	10	1969	A/S Lattelekom	eksperts
Olga Belova	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	11	1967	Latvijas Republikas Saeima	12. Saeimas deputāta palīdze
Ainārs Belovs	15 Politiskā partija "KPV LV"	Latgale	3	1988	SIA "FITNESA PARKS"	Valdes loceklis
Veronika Beluza	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	32	1992	Rīgas Sociālais dienests	Galvenā speciāliste lietvedības jomā
Māris Beļaunieks	2 Jaunā konservatīvā partija	Vidzeme	10	1961	Limbažu novada dome	Deputāts
Kārlis Beļēvičs	11 Latvijas Reģionu Apvienība	Rīga	16	1994	SIA B3	valdes loceklis
Alla Beļinska	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	6	1972	Latvijas Cistiskās fibrozes biedrība	Valdes priekšsēdētāja
Evija Benhena-Bēkena	15 Politiskā partija "KPV LV"	Rīga	36	1989	THE CONVERGENCE GROUP PLC	Projektu vadītāja
Iveta Benhena-Bēkena	15 Politiskā partija "KPV LV"	Rīga	2	1986	SIA "JUMBURGS"	valdes locekle
Jānis Benislavskis	7 "LSDSP/KDS/GKL"	Latgale	5	1944	Viļānu novada Dekšāres pagasta pārvalde	pagasta pārvaldes vadītājs
Krists Bergans-Berģis	15 Politiskā partija "KPV LV"	Rīga	13	1993	Greenwalk Baltic, SIA	Valdes loceklis
Jānis Bergmanis	15 Politiskā partija "KPV LV"	Zemgale	12	1985	SIA "Zaļš auto"	Valdes priekšēdētājs
Raimonds Bergmanis	16 Zaļo un Zemnieku savienība	Vidzeme	2	1966	Valsts Kanceleja	Aizsardzības ministrs
Valters Bergs	2 Jaunā konservatīvā partija	Vidzeme	18	1978	"Legatus" SIA	Valdes loceklis
Nataļja Bernatska	1 "Latvijas Krievu savienība"	Kurzeme	8	1990	SIA “Lokis”	menedžere
Kaspars Bernāns	10 Attīstībai/Par!	Zemgale	14	1986	SIA "HAVAS LATVIA"	Pasažieru apkalpošanas departamenta vadītājs
Tatjana Bernharde	2 Jaunā konservatīvā partija	Vidzeme	9	1971	"T.B. BIROJS" SIA	Valdes locekle
Ilze Bertāne	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	17	1987	Latvijas Republikas Saeima	Nacionālās apvienības „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK” Saeimas frakcijas konsultante
Jeļena Beskorovainaja	1 "Latvijas Krievu savienība"	Zemgale	11	1963	Krievu kopiena „LAD”	Valdes locekle
Gundars Bēms	10 Attīstībai/Par!	Zemgale	17	1984	SIA "TAMREX Latvia"	Tirdzniecības speciālists
Astrīda Bērziņa	14 Par Alternatīvu	Vidzeme	6	1943	Pensionārs/pensionāre	
Ieva Bērziņa	8 No sirds Latvijai	Vidzeme	19	1977	Bezdarbnieks/bezdarbniece	
Kristīne Bērziņa	6 "Latvijas centriskā partija"	Rīga	3	1967	Pensionārs/pensionāre	
Māra Bērziņa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	34	1993	Vides aizsardzības un reģionālas attīstības ministrija	Vecākā eksperte
Megija Paula Bērziņa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	27	1996	Rīgas pilsētas Vidzemes priekšpilsētas tiesa	Tiesas sēžu sekretāre
Zane Bērziņa	15 Politiskā partija "KPV LV"	Vidzeme	17	1986	Sabiedrība ar ierobežotu atbildību Raccoon Serviss	Valdes priekšsēdētāja
Ilze Bērziņa-Ruķere	10 Attīstībai/Par!	Vidzeme	17	1973	Iekšlietu ministrijas Valsts policija	Eiropas komisijas IDF projekta vadītāja
Andris Bērziņš	16 Zaļo un Zemnieku savienība	Zemgale	3	1955	LR Saeima	Deputāts
Guntis Bērziņš	11 Latvijas Reģionu Apvienība	Rīga	14	1958	Valsts ieņēmumu dienests, Nodokļu un muitas policijas pārvalde	nodaļas vadītājs
Tālis Biezais	10 Attīstībai/Par!	Latgale	12	1972	VID Muitas pārvalde	Vecākais muitas eksperts
Fredis Bikovs	10 Attīstībai/Par!	Rīga	25	1988	SIA "EVRY Latvia"	Direktors
Aigars Bikše	10 Attīstībai/Par!	Zemgale	2	1969	Latvijas Mākslas akadēmija	Profesors
