Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Daiga Ceipiniece	7 "LSDSP/KDS/GKL"	Latgale	1	1966	Dekšāru pamatskola	direktore
Miks Celmiņš	10 Attīstībai/Par!	Zemgale	10	1993	Nodibinājums "Make Room Europe"	Direktors
Pēteris Celms	10 Attīstībai/Par!	Rīga	35	1991	SIA "CE Services"	Finanšu analītiķis
Genādijs Celuškovskis	14 Par Alternatīvu	Rīga	6	1970	Bezdarbnieks/bezdarbniece	
Edmunds Cepurītis	5 "PROGRESĪVIE"	Rīga	6	1991	Nodibinājums “Vides izglītības fonds”	Projektu vadītājs
Ruta Cibule	11 Latvijas Reģionu Apvienība	Latgale	7	1960	Balvu Centrālā bibliotēka	Direktore
Jānis Cielēns	2 Jaunā konservatīvā partija	Vidzeme	15	1986	Beverīnas novada dome	Deputāts
Boriss Cilevičs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	9	1956	Latvijas Republikas Saeima	12. Saeimas deputāts
Aleksandra Cimbale	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	31	1986	SIA "Rīgas namu pārvaldnieks" Administratīvās pārvaldes Personāla vadības nodaļa	Mācību daļas vadītāja
Velta Cimdiņa	7 "LSDSP/KDS/GKL"	Rīga	21	1942	Tautas Palīdzības fonds	valdes priekšsēdētāja
Anna Cīrule	10 Attīstībai/Par!	Latgale	16	1983	SIA "AB 19"	Sekretāre
Gunda Cīrule	11 Latvijas Reģionu Apvienība	Zemgale	4	1982	Kandavas novada dome	priekšsēdētājas vietniece
Sigita Cīrule-Pāne	15 Politiskā partija "KPV LV"	Rīga	19	1973	Sabiedrība ar ierobežotu atbildību "TRAVEL WITH US"	Valdes locekle
Oskars Cīrulis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	13	1981	Z/S "Brūži"	Īpašnieks
Sanita Collenkopfa	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	13	1978	Kandavas Lauksaimniecības tehnikums, Saulaines teritoriālā struktūrvienība	Direktora vietniece audzināšanas darbā, skolotāja
Darja Cvetkova	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	28	1985	Babītes novada dome	Deputāte
Inese Čača	7 "LSDSP/KDS/GKL"	Rīga	12	1940	Horeogrāfisko Miniatūru Ansamblis "Vecrīga"	mākslinieciskā vadītāja
Aleksejs Čaiko	3 Rīcības partija	Vidzeme	11	1978	ia "Experts Joint Action"	Valdes loceklis
Anda Čakša	16 Zaļo un Zemnieku savienība	Rīga	3	1974	Valsts Kanceleja	LR Veselības ministre
Māris Čapkēvičs	5 "PROGRESĪVIE"	Vidzeme	15	1991	Pašvaldības aģentūras "Siguldas attīstības aģentūra" Tūrisma informācijas centrā "Gūtmaņala"	Tūrisma klientu konsultants
Dainis Čapkovskis	2 Jaunā konservatīvā partija	Rīga	33	1974	"Latvijas Neatkarīgo tirgotāju kooperācija" SIA	Komercdirektors
Konstantīns Čekušins	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	21	1980	SIA "Latvijas Mobilais Telefons"	Vecākais informācijas sistēmu inženieris
Māris Černovskis	8 No sirds Latvijai	Kurzeme	6	1970	SIA " Simar"	Direktors
Vladislavs Čerņavskis	15 Politiskā partija "KPV LV"	Latgale	17	1958	Sabiedrība ar ierobežotu atbildību "VLADAS 1"	Valdes loceklis
Iveta Čivčiša	8 No sirds Latvijai	Zemgale	1	1979	SIA "Jūrmalas siltums"	Iepirkumu komisijas loceklis
Ivars Čivčišs	15 Politiskā partija "KPV LV"	Rīga	11	1981	Sabiedrība ar ierobežotu atbildību "ALBERTA KOLEDŽA"	Studiju programmas direktors
Raimonds Čudars	13 Jaunā VIENOTĪBA	Vidzeme	7	1974	Salaspils novada dome	Domes priekšsēdētājs
Elīna Čujanova	1 "Latvijas Krievu savienība"	Vidzeme	2	1961	Latvijas Krievu savienība	Valdes locekle
Guntis Čukurs	11 Latvijas Reģionu Apvienība	Kurzeme	8	1974	SIA “Ekers Stividors LP”	Projektu koordinators
Vladimirs Čuprovs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	12	1972	Daugavpils Vecpilsētas vecticībnieku draudze	Draudzes priekšsēdētājs
Māris Dadzis	11 Latvijas Reģionu Apvienība	Kurzeme	3	1963	Ventspils novada pašvaldība	Domes priekšsēdētāja vietnieks
Mārtiņš Daģis	13 Jaunā VIENOTĪBA	Zemgale	11	1976	SIA ECOS	valdes priekšsēdētājs
Valters Dakša	5 "PROGRESĪVIE"	Zemgale	13	1997	SIA "Valters Dakša"	Valdes priekšsēdētājs
Valters Dambe	16 Zaļo un Zemnieku savienība	Vidzeme	8	1963	LR Saeima	Deputāts
Imants Dambis	12 "Latviešu Nacionālisti"	Vidzeme	13	1953	SIA Jaunarkādijas	Autobusa vadītājs
Zigurds Dambrāns	8 No sirds Latvijai	Kurzeme	15	1978	Bezdarbnieks/bezdarbniece	
Pēteris Daņiļēvičs	12 "Latviešu Nacionālisti"	Zemgale	2	1986	VSIA "Latvijas Vides, ģeoloģijas un meteoroloģijas centrs"	Ekologs
Māris Darģis	15 Politiskā partija "KPV LV"	Rīga	12	1982	Rīgas Tehniskā universitāte	Pētnieks
Indra Daudiša	8 No sirds Latvijai	Rīga	29	1985	SIA "Life Harmony"	Valdes priekšsēdētāja
Edgars Daudišs	8 No sirds Latvijai	Rīga	28	1985	Biedrība "Smieklu vētra"	Valdes priekšsēdētājs
Gundars Daudze	16 Zaļo un Zemnieku savienība	Kurzeme	1	1965	LR Saeima	12.Saeimas deputāts, Saeimas priekšsēdētājas biedrs
Anita Daukšte	1 "Latvijas Krievu savienība"	Latgale	4	1964	SIA ''Ludzas Zeme''	korespondente
Ints Dālderis	13 Jaunā VIENOTĪBA	Kurzeme	4	1971	Latvijas Republikas Saeima	deputāts
Agnese Deigele	5 "PROGRESĪVIE"	Zemgale	5	1977	Pašnodarbinātis	
Dainis Deigelis	5 "PROGRESĪVIE"	Zemgale	6	1983	Pašnodarbināts	Dzejnieks
Jānis Derums	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	30	1940	Valsts SIA "Latvijas Vides, ģeoloģijas un meteoroloģijas centrs"	Dozimetrists
Ainārs Dimants	10 Attīstībai/Par!	Kurzeme	4	1966	Biznesa augstskola "Turība"	Profesors
Ivars Dimants	10 Attīstībai/Par!	Rīga	23	1976	AS "Swedbank"	Juridiskās pārvaldes daļas vadītājs
Jānis Jāzeps Dimants	13 Jaunā VIENOTĪBA	Rīga	29	1937	Latviešu ārstu un zobārstu apvienība	Valdes loceklis
Linda Dinbire	12 "Latviešu Nacionālisti"	Vidzeme	8	1995	Students/studente	
Jānis Dinevičs	7 "LSDSP/KDS/GKL"	Vidzeme	1	1948	SIA Gosupi nekustāmie īpašumi	valdes priekšsēdētājs
Inna Djeri	1 "Latvijas Krievu savienība"	Vidzeme	5	1978	SIA Newtown	Valdes priekšsēdētāja
Boriss Dmitrijevs	1 "Latvijas Krievu savienība"	Zemgale	17	1934	Krievu kopiena "LAD"	Valdes loceklis
Ansis Dobelis	5 "PROGRESĪVIE"	Kurzeme	2	1982	SIA "Kolibri Grupa"	Valdes loceklis
Sergejs Dolgopolovs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	3	1941	Latvijas Republikas Saeima	12. Saeimas deputāts
Irina Dolgova	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	14	1981	Jelgavas novada dome	Deputāte
Nataļja Dolgušina	3 Rīcības partija	Vidzeme	13	1966	SIA "MAXIMA"	pardevēja
Aldis Doļģis	7 "LSDSP/KDS/GKL"	Zemgale	3	1955	Paula Stradiņa klīniskā universitātes slimnīca	ķirurgs
Aivars Doļņikovs	2 Jaunā konservatīvā partija	Zemgale	15	1964	”Vidzemes būvnieks” SIA	Būvdarbu vadītājs
Jānis Dombrava	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	3	1988	Latvijas Republikas Saeima	Deputāts
Ilze Dombrovska	5 "PROGRESĪVIE"	Rīga	13	1989	Accenture Latvijas filiāle	Programmētāja
Vjačeslavs Dombrovskis	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	1	1977	Pašnodarbināts	
Arturs Doniks	11 Latvijas Reģionu Apvienība	Rīga	23	1964	Pašnodarbināta persona	
Kristīne Dovāne	3 Rīcības partija	Rīga	6	1995	SIA "VEDUKO"	Menedžeris
Olga Dovāne	3 Rīcības partija	Vidzeme	3	1975	SIA "Veduko"	Valdes locekle
Margarita Dragiļe	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	20	1985	Interešu izglītības centrs "INDIVIDS"	Interešu izglītības programmas pedagogs
Daumants Dreiškens	16 Zaļo un Zemnieku savienība	Vidzeme	28	1984	Iekšlietu Ministrijas veselibas un sporta centrs	Profesionāls sportists
Jānis Drengers	13 Jaunā VIENOTĪBA	Vidzeme	18	1981	Quest Employment Ltd, Northampton, Apvienotā Karaliste	Klientu menedžeris
Dainis Drēžis	15 Politiskā partija "KPV LV"	Kurzeme	12	1966	Pensionārs/pensionāre	
Vladislava Drobiševa	14 Par Alternatīvu	Rīga	3	1991	SIA “JUSTICIAN”	valdes loceklis
Inese Drone	10 Attīstībai/Par!	Vidzeme	20	1979	Galerija M Māksla	Mākslas galerijas vadītāja
Baiba Dronka	16 Zaļo un Zemnieku savienība	Zemgale	15	1960	Skrīveru kultūras centrs	Direktore
Ivars Drulle	10 Attīstībai/Par!	Vidzeme	6	1975	Rīgas Dizaina un mākslas vidusskola	Skolotājs, Izglītības programmas vadītājs
Juris Dubrovskis	5 "PROGRESĪVIE"	Rīga	20	1980	VAS "Latvijas Pasts"	Rezerves pastnieks
Juta Dumpfa-Neverovska	15 Politiskā partija "KPV LV"	Rīga	7	1983	Saimnieciskā darbība	Saimieciskās darbības veicējs
Anna Duncīte-Ofmane	5 "PROGRESĪVIE"	Vidzeme	9	1991	SIA Baltic Restaurants Latvia	Struktūrvienības vadītāja
Jānis Dūklavs	16 Zaļo un Zemnieku savienība	Latgale	1	1952	Valsts Kanceleja	Zemkopības ministrs
Severīns Dūms	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	22	1951	VAS "Elektroniskie sakari"	sistēmanalītiķis
Edgars Dūrens	5 "PROGRESĪVIE"	Vidzeme	8	1973	Izdienas pensionārs	
Māris Dūrējs	5 "PROGRESĪVIE"	Zemgale	15	1948	Pensionārs/pensionāre	
Ilmārs Dūrītis	10 Attīstībai/Par!	Zemgale	5	1976	Latvijas Lauksaimniecības Universitāte	Dekāns, profesors, vadošais pētnieks, veterinārārsts
Jānis Dvēselītis	15 Politiskā partija "KPV LV"	Vidzeme	10	1972	SIA "MŪSU SAIME"	Masieris
Juris Dzelme	7 "LSDSP/KDS/GKL"	Rīga	19	1945	Nodibinājums „Augstākās izglītības kvalitātes novērtēšanas centrs” (AIKNC)	valdes priekšsēdētājs
Gunita Dzene	2 Jaunā konservatīvā partija	Vidzeme	22	1971	Carnikavas novada dome	Deputāte
Artūrs Dzenis	15 Politiskā partija "KPV LV"	Vidzeme	22	1988	Sabiedrība ar ierobežotu atbildību "Hokeja Pasaule"	Reklāmas speciālists
Juris Dzenis	3 Rīcības partija	Rīga	14	1954	Latvijas Universitātes	Medicīnas fakultātes pasniedzējs
Rauls Dzerelis	7 "LSDSP/KDS/GKL"	Kurzeme	5	1988	SIA Sandra Dzerele un partneris	revīzijas projektu vadītājs
Līna Dzērvāne	10 Attīstībai/Par!	Latgale	15	1975	Pašnodarbinātā	Māksliniece
Jurģis Dzērve	2 Jaunā konservatīvā partija	Vidzeme	26	1989	"Stokker" SIA	Tirdzniecības pārstāvis
Normunds Dzintars	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	11	1971	Liepājas Valsts 1. ģimnāzija	latviešu valodas un literatūras skolotājs
Raivis Dzintars	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	1	1982	Latvijas Republikas Saeima	Deputāts
Uldis Eglavs	10 Attīstībai/Par!	Kurzeme	12	1985	SIA "Eco House Industries"	Eksporta vadītājs
Roberts Egle	12 "Latviešu Nacionālisti"	Zemgale	7	1952	A/S "Latvijas Pasts"	Šoferis - pastnieks
Anete Eglīte	12 "Latviešu Nacionālisti"	Vidzeme	3	1995	SIA "Cherry Picking"	Mārketinga projektu vadītāja
Žanete Eglīte	10 Attīstībai/Par!	Rīga	30	1983	SIA "The Coffee Powerhouse"	Valdes locekle
Gatis Eglītis	2 Jaunā konservatīvā partija	Rīga	2	1978	Eiropas Komisijas Vēlēšanu novērošanas misiju dalībnieks	
Jānis Eglīts	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	6	1979	Vides aizsardzības un reģionālās attīstības ministrija	Parlamentārais sekretārs
Daiga Eiduka	5 "PROGRESĪVIE"	Kurzeme	10	1971	Saimnieciskās darbības veicēja	
Jānis Eisaks	16 Zaļo un Zemnieku savienība	Zemgale	11	1982	Tukuma novada dome	Deputāts
Janeks Ekurs	15 Politiskā partija "KPV LV"	Vidzeme	28	1980	Sabiedrība ar ierobežotu atbildību "FASTWAYS"	Direktors
Dēvijs Elnionis	16 Zaļo un Zemnieku savienība	Rīga	32	1977	Zvērinātu advokātu birojs “Zvērināta advokāta Dēvija Elnioņa birojs”	zvērināts advokāts, biroja vadītājs
Mārcis Elstiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	16	1980	SIA "Elsons"	Valdes loceklis
Edgars Engīzers	13 Jaunā VIENOTĪBA	Rīga	34	1985	Latvijas Republikas Saeima	deputāta palīgs
Dagmāra Enkuzena	7 "LSDSP/KDS/GKL"	Rīga	18	1962	Rīgas 2.speciālā internātpamatskola	skolotāja
Kārlis Eņģelis	13 Jaunā VIENOTĪBA	Rīga	12	1983	Latvijas Republikas Labklājības ministrija	ministra padomnieks
Zigmārs Erts	16 Zaļo un Zemnieku savienība	Latgale	9	1983	Preiļu novada dome	Deputāts
Baiba Ervalde	13 Jaunā VIENOTĪBA	Rīga	22	1959	Māras Muižnieces Rīgas Mākslas skola	Izglītības iestādes bibliotekāre
Evita Evardsone	11 Latvijas Reģionu Apvienība	Zemgale	10	1975	Dobeles novada Izglītības pārvalde	Juriskonsults, bērnu tiesību speciālists
Aigars Evardsons	11 Latvijas Reģionu Apvienība	Rīga	9	1962	„Baložu komunālā saimniecība” SIA	valdes loceklis
Kaspars Ezeriņš	8 No sirds Latvijai	Vidzeme	6	1984	Draudze " Jaunatne ar Misiju"	Mūzikas un Pielūgsmes kalpošanas apmācības vadītājs
Raja Ēriksone	13 Jaunā VIENOTĪBA	Rīga	28	1949	Rīgas aktīvo senioru alianse "RASA"	klientu koordinātors
Linda Ēvelīte	7 "LSDSP/KDS/GKL"	Vidzeme	8	1983	Mārupes novada dome, pirmsskolas bērnu izglītības iestāde	tehniskais darbinieks
Andrejs Faibuševičs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	8	1966	Premier Research Group Ltd	Klīnisko pētījumu uzsākšanas vadītājs
Tatjana Favorska	1 "Latvijas Krievu savienība"	Rīga	15	1947	Biedrība «Krievu Sabiedrība Latvijā»	Valdes priekšsēdētāja
Ludmila Fedorkova	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	6	1968	Salaspils novada dome	Deputāte
Ieva Feldmane-Volmslija	10 Attīstībai/Par!	Rīga	31	1989	Pašnodarbināta persona	Pašnodarbināta persona
Jānis Feldmanis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	16	1977	Valsts ieņēmumu dienesta Nodokļu un muitas policijas pārvalde	Vecākais izmeklētājs
Māris Feldmanis	15 Politiskā partija "KPV LV"	Zemgale	17	1974	Mežsaimniecība	Īpašnieks
Krišjānis Feldmans	2 Jaunā konservatīvā partija	Zemgale	1	1985	Jaunā konservatīvā partija	Valdes loceklis
Aleksandrs Filejs	1 "Latvijas Krievu savienība"	Rīga	4	1988	Latvijas Krievu savienība	Valdes loceklis
Nataļja Fjodorova	3 Rīcības partija	Latgale	4	1955	SIA "ADR skola"	Direktore
Artis Freibergs	6 "Latvijas centriskā partija"	Vidzeme	3	1966	VSAC "Rīga"	audzīnātājs
Gunārs Freidenfelds	8 No sirds Latvijai	Vidzeme	16	1951	Pensionārs/pensionāre	
Astrīds Freimanis	13 Jaunā VIENOTĪBA	Zemgale	13	1935	SIA Naftas un gāzes konsultanti	Projektu vadītājs
Māris Freimanis	2 Jaunā konservatīvā partija	Zemgale	7	1987	"Buki" Annenieku pagasta zemnieku saimniecība	Īpašnieks
Vilis Freimanis	7 "LSDSP/KDS/GKL"	Rīga	14	1954	Rīgas sociālais dienests	sociālā darbinieka asistents
Naira Frijāre	10 Attīstībai/Par!	Vidzeme	21	1966	SIA "FF Fūrmanis"	Valdes priekšsēdētājs
Edgars Gaigalis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	17	1973	Dobeles Jaunatnes iniciatīvu un veselības centrs	Saimniecības vadītājs
Normunds Gaigals	10 Attīstībai/Par!	Vidzeme	22	1970	SIA "Garog"	Projektu vadītājs
Artūrs Gailāns	10 Attīstībai/Par!	Vidzeme	25	1983	Ātrās palīdzības dienests	Autovadītājs
Ričards Gailums	13 Jaunā VIENOTĪBA	Vidzeme	9	1972	Valmieras pilsētas pašvaldība	deputāts, domes priekšsēdētāja vietnieks
Sergejs Galajevs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	12	1989	Stopiņu novada dome	Deputāts
Sergejs Galaveckis	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	8	1978	"Saskaņa" sociāldemokrātiskā partija	Domes loceklis, Ventspils novada nodaļas valdes priekšsēdētājs
Līga Galeja	8 No sirds Latvijai	Vidzeme	20	1963	SIA " Rīgas ūdens"	Inženiere
Aleksandrs Gamaļejevs	1 "Latvijas Krievu savienība"	Rīga	8	1961	Rīgas Tehniskā universitāte	Projektu vadītājs
Guntis Garda	11 Latvijas Reģionu Apvienība	Rīga	25	1959	DC Dynamic Consulting GmbH	Konsultants
Nauris Garkaklis	11 Latvijas Reģionu Apvienība	Rīga	30	1992	Latvijas Republikas Saeima	Deputāta palīgs
Māris Garkuls	13 Jaunā VIENOTĪBA	Latgale	10	1980	SIA Labiekārtošana-D	Tehniskais direktors
Artūrs Garonskis	15 Politiskā partija "KPV LV"	Rīga	31	1957	Pensionārs/pensionāre	
Valdis Gavars	11 Latvijas Reģionu Apvienība	Rīga	4	1967	Rīga, Bramberģes iela 38	Īpašumu pārvaldnieks
Jaroslavs Gaveiko	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	10	1990	Akciju sabiedrība "Immer Digital"	Pārdošanas menedžeris
Jekaterina Gavrilova	1 "Latvijas Krievu savienība"	Rīga	13	1997	Mājsaimniece	
Arturs Gavriļuks	3 Rīcības partija	Rīga	18	1989	SIA "AVG Consult"	Jurists
Gints Gābers	8 No sirds Latvijai	Vidzeme	1	1982	SIA “Labi Dati”	Iepirkumu speciālists
Ilmārs Geiba	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	32	1992	If P&C Insurance Ltd (Publ) Latvijas filiāle	Kvalitātes nodrošināšanas speciālists
Anita Geidāne	15 Politiskā partija "KPV LV"	Zemgale	13	1963	Biedrība "Dziesmu vācelīte"	Vadītāja
Aivars Geidāns	15 Politiskā partija "KPV LV"	Zemgale	3	1985	Jelgavas novada dome	Deputāts
Laima Geikina	10 Attīstībai/Par!	Rīga	9	1961	Latvijas Universitāte	Profesore
Alīna Gendele	13 Jaunā VIENOTĪBA	Latgale	5	1959	Ludzas novada dome	deputāte
Gatis Gereišs	13 Jaunā VIENOTĪBA	Rīga	30	1992	Students/studente	
Helēna Geriloviča	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	5	1956	Liepājas dome	Deputāte
Aldis Gēcis	13 Jaunā VIENOTĪBA	Vidzeme	19	1963	Jūrmalas advokāta birojs	Zvērināts advokāts
Guntis Gladkins	11 Latvijas Reģionu Apvienība	Vidzeme	17	1969	Rūjienas novada pašvaldība	Domes priekšsēdētājs
Igors Glazunovs	14 Par Alternatīvu	Kurzeme	1	1941	Pensionārs/pensionāre	
Viktors Gluhovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	19	1965	Londonas Deivisa, Leinga un Dika koledža	Matemātikas skolotājs
Inga Gluzda	2 Jaunā konservatīvā partija	Kurzeme	3	1970	Jaunā konservatīvā partija	Valdes locekle
Aldis Gobzems	15 Politiskā partija "KPV LV"	Rīga	38	1978	Zvērināta advokāta Alda Gobzema birojs	Zvērināts advokāts
Inga Godunova	12 "Latviešu Nacionālisti"	Kurzeme	3	1964	Rīgas Dizaina Vidusskola	Bibliotēkas vadītāja
Inga Goldberga	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	2	1966	Daugavpils pilsētas dome	Izpilddirektore
Marija Golubeva	10 Attīstībai/Par!	Rīga	4	1973	SIA "RHC Consulting"	Valdes locekle, direktore
Dmitrijs Golubevs	13 Jaunā VIENOTĪBA	Rīga	18	1983	SIA "Aliaz Cooperation"	Programmētājs
Mihails Gončarovs	14 Par Alternatīvu	Vidzeme	14	1960	A/S Olainfarm	Maiņas atslēdznieks
Mihails Gončarovs	3 Rīcības partija	Rīga	13	1975	Rīgas domes Īpašuma departaments	Galvenais speciālists
Rihards Gorkšs	10 Attīstībai/Par!	Vidzeme	8	1987	Biedrība "Futbola klubs "AUDA""	Valdes loceklis
Pāvels Goroškovs	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	11	1982	SIA "Riettransserviss"	Pārdevējs
Evita Goša	10 Attīstībai/Par!	Rīga	8	1979	SIA "CEMEX"	Juridiskās daļas vadītāja, Valdes locekle
Guna Gottere	8 No sirds Latvijai	Rīga	12	1985	SIA “TMB elements”	Tirdzniecības projektu vadītāja
Dainis Grabovskis	6 "Latvijas centriskā partija"	Kurzeme	1	1970	SIA DG Projects	izpilddirektors
Jānis Grasbergs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	12	1986	Z/S "Zilūži"	Īpašnieks un vadītājs
Jānis Grasis	11 Latvijas Reģionu Apvienība	Rīga	7	1971	Rīgas Stradiņa universitāte	Juridiskās fakultātes prodekāns, vadošais pētnieks
Viktorija Anna Graudiņa	13 Jaunā VIENOTĪBA	Rīga	31	1986	Sia "Lejiņa un Šleiers"	Sabiedrisko attiecību speciāliste
Artūrs Graudiņš	16 Zaļo un Zemnieku savienība	Rīga	5	1984	Latvijas Zemnieku savienība	Ģenerālsekretārs
Einārs Graudiņš	14 Par Alternatīvu	Rīga	1	1965	Pensionārs/pensionāre	
Māris Indulis Graudiņš	5 "PROGRESĪVIE"	Vidzeme	6	1953	Stokholmas Ekonomikas augstskola Rīgā	Vieslektors
Raimonds Graudiņš	13 Jaunā VIENOTĪBA	Zemgale	14	1981	Lielvārdes novada pašvaldība	Deputāts
Sigurds Graudiņš	14 Par Alternatīvu	Vidzeme	13	1951	Pensionārs/pensionāre	
Irēna Grauze	13 Jaunā VIENOTĪBA	Kurzeme	6	1965	Saldus novada pašvaldības Ezeres pagasta pārvalde	Pārvaldes vadītāja
Aivars Grigulis	7 "LSDSP/KDS/GKL"	Rīga	5	1969	Politiska partija Kristīgi demokrātiskā savienība	valdes loceklis
Edmunds Griģis	2 Jaunā konservatīvā partija	Latgale	16	1973	Biedrība "Demokrātiskie patrioti"	Valdes priekšsēdētāja vietnieks
Ivars Griķis	15 Politiskā partija "KPV LV"	Latgale	8	1981	SIA "THERMO SKYLIGHT SYSTEMS"	Valdes loceklis
Gunārs Grīnbergs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	20	1952	SIA "KMGV"	Valdes loceklis
Māris Grīnbergs	15 Politiskā partija "KPV LV"	Vidzeme	13	1981	Sabiedrība ar ierobežotu atbildību "Noliktava 195"	Valdes priekšsēdētājs
Uģis Grīnbergs	8 No sirds Latvijai	Kurzeme	7	1968	VAS "Latvijas Valsts meži"	Mežkopības meistars
Anda Grīnfelde	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	8	1963	Latvijas Izglītības un zinātnes darbinieku arodbiedrība	eksperte sociāli ekonomiskajos jautājumos
Sofija Grīnvalde	15 Politiskā partija "KPV LV"	Vidzeme	7	1988	Latvijas Republikas Vides aizsardzības un reģionālās attīstības ministrija	Vecākā eksperte
Guntars Grīnvalds	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	2	1973	Biedrība "Nekustamo īpašumu projektu attīstītāju asociācija"	Valdes priekšsēdētājs
Ilmārs Gromuls	5 "PROGRESĪVIE"	Vidzeme	12	1980	ERGO Insurance SE Latvijas filiāle	IT projektu vadītājs
Guntis Grosbergs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	28	1969	Priekuļu novada pašvaldība	Autoceļu uzturēšanas organizators
Andris Gross	2 Jaunā konservatīvā partija	Rīga	18	1979	"A.Gross creative." SIA	Valdes loceklis
Normunds Grostiņš	8 No sirds Latvijai	Rīga	4	1964	Latvijas Nākotnes Institūts	valdes priekšsēdētājs
Aldis Grunde	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	14	1962	Stopiņu novada dome	Deputāts
Inga Gudēviča	16 Zaļo un Zemnieku savienība	Rīga	28	1966	Rīgas pašvaldība	iestādes vadītājs
Normunds Gudovskis	12 "Latviešu Nacionālisti"	Kurzeme	9	1967	SIA "DMIRO"	Dežurants
Diāna Gulbe	5 "PROGRESĪVIE"	Rīga	31	1988	SIA "Mann Lines"	Pārdošanas menedžere
Zigfrīds Gusevs	8 No sirds Latvijai	Vidzeme	21	1989	Bezdarbnieks/bezdarbniece	
Artis Gustovskis	13 Jaunā VIENOTĪBA	Kurzeme	2	1967	Latvijas Republikas 12.Saeima	Deputāts
Viktors Guščins	1 "Latvijas Krievu savienība"	Zemgale	2	1958	Latvijas Krievu savienība	Valdes loceklis
Nauris Gūtmanis	2 Jaunā konservatīvā partija	Vidzeme	16	1970	Students/studente	
Sandra Ģeida	2 Jaunā konservatīvā partija	Vidzeme	24	1964	"Studio ABC" SIA	Valdes locekle, direktore
Frančeska Ģēvele	8 No sirds Latvijai	Vidzeme	4	1954	Mālpils internātpamatskola	Direktore
Kaspars Ģirģens	15 Politiskā partija "KPV LV"	Zemgale	1	1985	Jēkabpils pilsētas pašvaldība	Deputāts
Sandis Ģirģens	15 Politiskā partija "KPV LV"	Zemgale	5	1980	Individuāli praktizējošs zvērināts advokāts Sandis Ģirģens	Zvērināts advokāts
Vladislavs Haļuks	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	24	1989	Valsts akciju sabiedrība "Latvenergo"	Dispečers
Astrīda Harju	13 Jaunā VIENOTĪBA	Vidzeme	8	1960	Latvijas Republikas Saeima	deputāte
Viktors Harlamovs	1 "Latvijas Krievu savienība"	Rīga	20	1962	Pensionārs/pensionāre	
Ingemars Harmsens	10 Attīstībai/Par!	Kurzeme	8	1962	SIA "Saldus medicīnas centrs"	Valdes priekšsēdētājs
